caption_idx,image_idx,caption
0,0,"A group of four young children, three girls and one boy are sitting on the floor inside, with a bottle of water in front of the girl wearing glasses."
1,0,There are several Asian children sitting cross legged on a concrete floor.
2,0,A small group of children all looking in the same direction.
3,0,The children in class are sitting on the floor.
4,0,Three girls are sitting on the floor.
5,1,A young girl is stroking a white bunny rabbit that is sitting in her lap.
6,1,A brown-haired woman wearing a silver watch is petting a white rabbit.
7,1,A young woman is stroking the white rabbit that is sitting on her leg.
8,1,A woman in blue jeans is siting petting a rabbit.
9,1,Rabbits can be pets not just food.
10,2,The employees of a culinary establishment prepare food for watching customers.
11,2,Deli workers hand paper plates of food across a counter to customers.
12,2,A couple is having lunch along with wine in a bar-style restaurant.
13,2,Three employees in white serve customers wine and canapes.
14,2,A group of people being served at a wine and food bar.
15,3,A girl in a bright blue dress stands in the street in front of a red building.
16,3,A girl in a blue dress standing next to a wooden post on sidewalk.
17,3,A little girl in a blue dress hides behind an electric pole.
18,3,A little girl is hiding behind a pole on the sidewalk.
19,3,The little girl is watching the lady on the ground.
20,4,A couple with a young child wrapped in a blanket sitting on a concrete step
21,4,The man and woman are sitting on wooden steps holding a baby.
22,4,A woman and a man holding a child sit on steps.
23,4,A young family sits on steps enjoying the day
24,4,A young family sitting on stone steps.
25,5,"A smiling young woman in a red t-shirt, sitting on a stool playing a guitar in a room with guitars on the wall."
26,5,A woman with wavy hair wears a red t-shirt and black pants while she sits on a stool playing the guitar.
27,5,A woman wearing a red shirt and black pants is sitting on a stool and holding a guitar.
28,5,A woman is sitting on a stool and playing a guitar with a smile on her face.
29,5,Girl playing a guitar to see if it works.
30,6,"A person wearing a red, white, and blue helmet sitting on a motorcycle."
31,6,A man with a tattoo on his elbow is wearing a helmet with a mohawk.
32,6,A man with a strange helmet is sitting on top of a blue motorcycle.
33,6,Man with a T-shirt and helmet sitting on top of a motorcycle.
34,6,A man with a red mohawk waiting at a red light.
35,7,Several people standing in silhouette looking over a balcony.
36,7,Seven people leaning over a rail wearing business attire.
37,7,Several people look down from above the first floor.
38,7,A peoples wearing all black clothes
39,7,A group of people look over ledge.
40,8,"A crowd of people, some standing by a river, some in the river with old buildings in the background."
41,8,A group of people are near a small river in the middle of a city.
42,8,"People are bathing in water, possibly for religious reasons."
43,8,A large group of people are gathered near a plaza and water.
44,8,A crowd bathing in a body of water surrounded by a city.
45,9,"This appears to be a woman posing near a large, moss-covered rock outcropping."
46,9,A person hangs of the vertical side of gigantic rocks in a wooded area.
47,9,A large rock formation in the middle of a forest.
